NiO2 + O	O2 Conc	O2 Error	Signal	O2 Conc	O2 Error	Signal	Model Output	Model Output	Model Output	Model Output	Model Output	Model Output	Model Output	Model Output	NiO + O	O2 Conc	O2 Error	Signal	O2 Conc	O2 Error	Signal	Model Output	Model Output	Model Output	Model Output	Model Output	Model Output	Model Output	Model Output				
							873508000000000	0.550698281359445	873508000000000	0.512873688387674	873508000000000	0.531751983454982	873508000000000	0.558751334685014		109147109841317	535034852163.317	0.518007822458511	99224645310287.8	486395320148.47	0.484445176926232	0	1.00037134433962	0	1.00037252358491	0	1.00037134433962	0	1.00037134433962				
							972000000000000	0.515891911047454	972000000000000	0.475675301543942	972000000000000	0.495754755723803	972000000000000	0.524424112832448		118106170564118	578951816490.777	0.47977305779485	99224645310287.8	486395320148.47	0.465911768000252	89460000000	0.894586202830189	89460000000	0.833348231132075	89460000000	0.878542452830189	89460000000	0.907295872641509				
																118106170564118	578951816490.777	0.529838790859468	111634206556900	547226502729.901	0.427309118050735	134100000000	0.84843054245283	134100000000	0.764113797169811	134100000000	0.826245990566038	134100000000	0.866082783018868				
																127948351444462	627197801198.341	0.514700356830158	118106170564118	578951816490.777	0.375656252662177	179100000000	0.805756485849057	179100000000	0.702283844339623	179100000000	0.778415448113208	179100000000	0.827606603773585				
																128992038903374	632313916193.011	0.513842038713952	119069574372345	583674384178.164	0.396631045702657	223200000000	0.76729233490566	223200000000	0.648482311320755	223200000000	0.735773702830189	223200000000	0.792589268867924				
																133706038936010	655421759490.245	0.473645356770998	124677956940026	611166455588.362	0.406912836420143	268200000000	0.731197051886792	268200000000	0.599743278301887	268200000000	0.696188679245283	268200000000	0.759421108490566				
																137790532324805	675443785905.906	0.458100236637849	127948351444462	627197801198.341	0.394389945947972	329400000000	0.686574764150943	329400000000	0.542003891509434	329400000000	0.647880188679245	329400000000	0.717952122641509				
																137790532324805	675443785905.906	0.476308096958415	134995527530756	661742782013.511	0.388575559056919	334800000000	0.682870636792453	334800000000	0.537340683962264	334800000000	0.643901886792453	334800000000	0.714485613207547				
																147632713205148	723689770613.471	0.510975433343061	137790532324805	675443785905.906	0.330411684191014	387900000000	0.648146344339623	387900000000	0.494666509433962	387900000000	0.60689233490566	387900000000	0.681795400943396				
																148836967965432	729592980222.705	0.46914191014072	138914503434403	680953448207.858	0.350189162380893	437400000000	0.61848820754717	437400000000	0.459732900943396	437400000000	0.575662028301887	437400000000	0.653583254716981				
																157474894085491	771935755321.036	0.48387191138307	141934137712531	695755577022.21	0.411777149263268	437400000000	0.61848820754717	437400000000	0.459732900943396	437400000000	0.575662028301887	437400000000	0.653583254716981				
																162395984525663	796058747674.818	0.401214371509591	147632713205148	723689770613.471	0.36778281358459	437400000000	0.61848820754717	437400000000	0.459732900943396	437400000000	0.575662028301887	437400000000	0.653583254716981				
																167317074965834	820181740028.6	0.499648545564618	157474894085491	771935755321.036	0.296064378608728	437400000000	0.61848820754717	437400000000	0.459732900943396	437400000000	0.575662028301887	437400000000	0.653583254716981				
																177159255846178	868427724736.165	0.455560285464126	158759432496461	778232512237.552	0.367290928882438	437400000000	0.61848820754717	437400000000	0.459732900943396	437400000000	0.575662028301887	437400000000	0.653583254716981				
																186032532395901	911924178411.282	0.446099715640184	167317074965834	820181740028.6	0.338586902193633	437400000000	0.61848820754717	437400000000	0.459732900943396	437400000000	0.575662028301887	437400000000	0.653583254716981				
																187001436726521	916673709443.73	0.487099846875591	177159255846178	868427724736.165	0.281700163280116	437400000000	0.61848820754717	437400000000	0.459732900943396	437400000000	0.575662028301887	437400000000	0.653583254716981				
																196843617606864	964919694151.294	0.427495240917052	178604361558518	875511576267.245	0.294197884457626	492300000000	0.588250117924528	492300000000	0.425623113207547	492300000000	0.544230306603774	492300000000	0.624522051886792				
																196843617606864	964919694151.294	0.427495240917052	187001436726521	916673709443.73	0.306533406263804	521100000000	0.573550353773585	521100000000	0.409575471698113	521100000000	0.529090566037736	521100000000	0.610290566037736				
																196843617606864	964919694151.294	0.427495240917052	196843617606864	964919694151.294	0.269130975007098	525600000000	0.571301533018868	525600000000	0.407155778301887	525600000000	0.526785377358491	525600000000	0.60810554245283				
																196843617606864	964919694151.294	0.427495240917052	206251205570303	1011035321423.05	0.258639462319367	549900000000	0.559336320754717	549900000000	0.394448820754717	549900000000	0.514556839622642	549900000000	0.596441863207547				
																196843617606864	964919694151.294	0.427495240917052	231589210086212	1135241225912.8	0.276909244445321	564300000000	0.55254858490566	564300000000	0.387335259433962	564300000000	0.507646698113208	564300000000	0.589809080188679				
																196843617606864	964919694151.294	0.427495240917052				568800000000	0.550447405660377	568800000000	0.385152122641509	568800000000	0.505512264150943	568800000000	0.587751533018868				
																196843617606864	964919694151.294	0.427495240917052				595800000000	0.538138089622642	595800000000	0.372520990566038	595800000000	0.49305070754717	595800000000	0.575662264150943				
																196843617606864	964919694151.294	0.427495240917052				607500000000	0.53289162735849	607500000000	0.367232311320755	607500000000	0.487767452830189	607500000000	0.5704875				
																206685798487207	1013165678858.86	0.460225914802486				612900000000	0.530562853773585	612900000000	0.364888443396226	612900000000	0.485422759433962	612900000000	0.568192452830189				
																216527979367550	1061411663566.42	0.410692613645328				626400000000	0.524740919811321	626400000000	0.359085495283019	626400000000	0.479578891509434	626400000000	0.562438089622642				
																222838551597539	1092345841164.41	0.359294260743358				651600000000	0.514121698113208	651600000000	0.348692216981132	651600000000	0.468967570754717	651600000000	0.551906132075472				
																262177823771611	1285185410645.15	0.349236284470246				657000000000	0.511941627358491	657000000000	0.346574174528302	657000000000	0.466793396226415	657000000000	0.549740212264151				
																						694800000000	0.496994575471698	694800000000	0.332308372641509	694800000000	0.451963443396226	694800000000	0.534826886792453				
																						700200000000	0.494793867924528	700200000000	0.330263443396226	700200000000	0.44980070754717	700200000000	0.532618867924528				
																						738000000000	0.480729127358491	738000000000	0.317289740566038	738000000000	0.435967806603774	738000000000	0.518491863207547				
																						744300000000	0.478366037735849	744300000000	0.315166155660377	744300000000	0.433660259433962	744300000000	0.516108490566038				
																						781200000000	0.465413443396226	781200000000	0.303571462264151	781200000000	0.421036556603774	781200000000	0.503000235849057				
																						788400000000	0.462913443396226	788400000000	0.301390212264151	788400000000	0.418615094339623	788400000000	0.500459433962264				
																						825300000000	0.450701768867925	825300000000	0.290808608490566	825300000000	0.406812028301887	825300000000	0.488023349056604				
																						868500000000	0.437070283018868	868500000000	0.279330660377358	868500000000	0.393736910377358	868500000000	0.474052476415094				
																						909000000000	0.4249875	909000000000	0.269419811320755	909000000000	0.382235495283019	909000000000	0.461607783018868				
																						1026000000000	0.393275235849057	1026000000000	0.244615801886792	1026000000000	0.352429245283019	1026000000000	0.428609433962264				
																						1070000000000	0.38134925616836	1070000000000	0.235287798338978	1070000000000	0.341220057248831	1070000000000	0.41619979841961				
																						1100000000000	0.373217906386067	1100000000000	0.228927795920013	1100000000000	0.333577429043703	1100000000000	0.407738683276891				
																						1150000000000	0.359665656748911	1150000000000	0.218327791888405	1150000000000	0.320839715368489	1150000000000	0.393636824705693				
																						1200000000000	0.346113407111756	1200000000000	0.207727787856797	1200000000000	0.308102001693275	1200000000000	0.379534966134494				
																						1250000000000	0.332561157474601	1250000000000	0.19712778382519	1250000000000	0.295364288018062	1250000000000	0.365433107563296				
																						1300000000000	0.319008907837446	1300000000000	0.186527779793582	1300000000000	0.282626574342848	1300000000000	0.351331248992098				
																						1350000000000	0.30545665820029	1350000000000	0.175927775761974	1350000000000	0.269888860667634	1350000000000	0.3372293904209				
																						1400000000000	0.291904408563135	1400000000000	0.165327771730366	1400000000000	0.257151146992421	1400000000000	0.323127531849702				
